MsgID.LOCAL_VELOCITY,20.1090000,-0.0103066,-0.0258608,-3.3052239
MsgID.GLOBAL_POSITION,0.0000000,-122.3957520,37.7932812,3.7050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.9000000
MsgID.LOCAL_POSITION,20.3590000,-0.0347051,-0.0045903,-3.7051036
MsgID.LOCAL_VELOCITY,20.3590000,-0.0097246,-0.0244005,-0.9029263
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932815,3.6840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0900000,1.1700000
MsgID.LOCAL_POSITION,20.6090000,0.0027095,0.0504094,-3.6471539
MsgID.LOCAL_VELOCITY,20.6090000,-0.0090017,0.1895192,1.3107988
MsgID.GLOBAL_POSITION,0.0000000,-122.3957505,37.7932815,3.2920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,1.0200000,1.9000000
MsgID.LOCAL_POSITION,20.8600000,-0.0057306,0.1261362,-3.2922988
MsgID.LOCAL_VELOCITY,20.8600000,-0.0092579,1.0260578,1.9038057
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3957466,37.7932812,2.9050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,2.5300000,1.1500000
MsgID.LOCAL_POSITION,21.1100000,-0.0330753,0.5770304,-2.8738716
MsgID.LOCAL_VELOCITY,21.1100000,-0.0012336,2.8344560,0.8902994
MsgID.GLOBAL_POSITION,0.0000000,-122.3957333,37.7932825,2.8790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,4.7000000,-0.6500000
MsgID.LOCAL_POSITION,21.3610000,0.1050255,1.6527070,-2.8790488
MsgID.LOCAL_VELOCITY,21.3610000,0.0121514,4.7077470,-0.6505841
MsgID.GLOBAL_POSITION,0.0000000,-122.3957194,37.7932822,3.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,5.4600000,-0.2700000
MsgID.LOCAL_POSITION,21.6110000,0.0560988,3.0780637,-3.0258577
MsgID.LOCAL_VELOCITY,21.6110000,-0.0086828,5.5536499,-0.1769522
MsgID.GLOBAL_POSITION,0.0000000,-122.3957026,37.7932817,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,6.2800000,0.1300000
MsgID.LOCAL_POSITION,21.8620000,0.0211484,4.3858671,-2.9922202
